"metric","count","exact","withinTolerance","outsideTolerance","nullPairs","maxAbs","maxRelative"
"savedScenario.operatingBalanceResidualMS","20412","20412","20412","0","16565","0","0"
"savedScenario.operatingHoldup","20412","20412","20412","0","16565","0","0"
"savedScenario.operatingRoots.length","20412","20412","20412","0","0","0","0"
"savedScenario.operatingSpeeds","16565","16565","16565","0","16565","0","0"
"savedScenario.signedOperatingVelocities","16565","16565","16565","0","16565","0","0"
"savedScenario.signedTerminalVelocityMS","20412","20412","20412","0","0","0","0"
"savedScenario.terminalRe","20412","20412","20412","0","0","0","0"
"savedScenario.terminalSpeedMS","20412","20412","20412","0","0","0","0"
"savedScenario.operatingRoots.[]","7694","7694","7694","0","0","0","0"
"savedScenario.operatingSpeeds.slipMS","3847","3847","3847","0","0","0","0"
"savedScenario.operatingSpeeds.superficialSwarmMS","3847","3847","3847","0","0","0","0"
"savedScenario.signedOperatingVelocities.continuousMS","3847","3847","3847","0","0","0","0"
"savedScenario.signedOperatingVelocities.dispersedMS","3847","3847","3847","0","0","0","0"
"savedScenario.signedOperatingVelocities.dispersedRelativeToContinuousMS","3847","3847","3847","0","0","0","0"
"governing.minimumCapacity","3402","3402","3402","0","0","0","0"
"governing.firstMinimumLabel","3402","3402","3402","0","0","0","0"
"governing.fullScenario.branchStatus","3402","3402","3402","0","0","0","0"
"governing.fullScenario.capacityMS","3402","3402","3402","0","0","0","0"
"governing.fullScenario.characteristicFactor","3402","3402","3402","0","0","0","0"
"governing.fullScenario.characteristicRe","3402","3402","3402","0","0","0","0"
"governing.fullScenario.characteristicSpeedMS","3402","3402","3402","0","0","0","0"
"governing.fullScenario.coefficient","3402","3402","3402","0","0","0","0"
"governing.fullScenario.continuation.length","3402","3402","3402","0","0","0","0"
"governing.fullScenario.continuation.[].flowFraction","18252","18252","18252","0","0","0","0"
"governing.fullScenario.continuation.[].holdup","18252","18252","18252","0","0","0","0"
"governing.fullScenario.d32M","3402","3402","3402","0","0","0","0"
"governing.fullScenario.diagnostics.eotvos","3402","3402","3402","0","0","0","0"
"governing.fullScenario.diagnostics.ohnesorgeContinuous","3402","3402","3402","0","0","0","0"
