segment,atom,element,hb_class,area_square_angstrom,charge_electron,raw_sigma_e_per_square_angstrom,cpcmx_averaged_sigma,cpcmx_pre_probability_partition,nist_hsieh_averaged_sigma,nist_pre_probability_partition,nist_left_bin,nist_right_bin,nist_left_area_weight,nist_right_area_weight
88,2,N,OT,0.506654336000,-0.000984061000,-0.001942272926684,-0.000766587112640,NHB,-0.000677460980649,NHB,-0.001,0.000,0.677460980648731,0.322539019351269
89,2,N,OT,0.506654336000,0.000044050000,0.000086942905389,0.000477418047896,OT,0.000471053881066,OT,0.000,0.001,0.528946118934470,0.471053881065530
90,2,N,OT,0.506654336000,-0.000389884000,-0.000769526622585,0.000251408117504,OT,0.000355020783509,OT,0.000,0.001,0.644979216490873,0.355020783509127
91,2,N,OT,0.613459747000,-0.001186948000,-0.001934842515429,-0.000891350277945,NHB,-0.001001881042255,NHB,-0.002,-0.001,0.001881042254715,0.998118957745285
92,2,N,OT,0.613459747000,-0.000565327000,-0.000921538866673,-0.001094824573002,NHB,-0.001634311332742,NHB,-0.002,-0.001,0.634311332742170,0.365688667257830
93,2,N,OT,0.613459747000,-0.000914372000,-0.001490516703780,-0.002989667733129,NHB,-0.002665370426277,NHB,-0.003,-0.002,0.665370426277037,0.334629573722963
94,2,N,OT,0.613459747000,-0.000024657000,-0.000040193346215,0.001109104299449,OT,0.001255829027583,OT,0.001,0.002,0.744170972417039,0.255829027582961
95,2,N,OT,0.592029067000,-0.000074768000,-0.000126291096447,0.000350492260472,OT,0.000344428138841,OT,0.000,0.001,0.655571861158796,0.344428138841204
96,2,N,OT,0.592029067000,-0.001110813000,-0.001876281186038,-0.000363907067809,NHB,-0.000306349469530,NHB,-0.001,0.000,0.306349469530010,0.693650530469990
97,2,N,OT,0.592029067000,0.000060609000,0.000102375040988,0.001002112168366,OT,0.001228234224899,OT,0.001,0.002,0.771765775101219,0.228234224898781
98,2,N,OT,0.592029067000,-0.000185022000,-0.000312521817447,-0.000371622069689,NHB,-0.000682668010271,NHB,-0.001,0.000,0.682668010271121,0.317331989728879
99,2,N,OT,0.592029067000,0.000058883000,0.000099459643592,0.000777342861498,OT,0.000973175668000,OT,0.000,0.001,0.026824331999766,0.973175668000234
100,2,N,OT,0.592029067000,-0.000176176000,-0.000297579983518,0.000647011206533,OT,0.000755853273504,OT,0.000,0.001,0.244146726496372,0.755853273503629
101,2,N,OT,0.592029067000,-0.000014205000,-0.000023993754347,-0.000579825001127,NHB,-0.001156872643902,NHB,-0.002,-0.001,0.156872643902496,0.843127356097504
102,2,N,OT,0.598169642000,-0.000038804000,-0.000064871229289,0.000866848135242,OT,0.001005034411998,OT,0.001,0.002,0.994965588001712,0.005034411998288
103,2,N,OT,0.598169642000,-0.000390005000,-0.000651997314167,0.000215425637465,OT,0.000429375210072,OT,0.000,0.001,0.570624789928403,0.429375210071597
104,2,N,OT,0.598169642000,0.000013385000,0.000022376595300,0.000619540873878,OT,0.000659061800945,OT,0.000,0.001,0.340938199054660,0.659061800945340
105,2,N,OT,0.598169642000,-0.000108160000,-0.000180818270279,0.000258262040438,OT,0.000241743839119,OT,0.000,0.001,0.758256160881120,0.241743839118880
106,2,N,OT,0.598169642000,-0.000922033000,-0.001541423929368,-0.000549639142485,NHB,-0.000495625856835,NHB,-0.001,0.000,0.495625856835342,0.504374143164658
107,2,N,OT,0.598169642000,-0.000006013000,-0.000010052332278,0.000758048575016,OT,0.001064148110306,OT,0.001,0.002,0.935851889694085,0.064148110305915
108,2,N,OT,0.598169642000,-0.000774089000,-0.001294096098578,-0.001958737830547,NHB,-0.002076514269709,NHB,-0.003,-0.002,0.076514269708621,0.923485730291379
109,2,N,OT,0.598169642000,0.000086285000,0.000144248376951,0.000876537223760,OT,0.000907839606672,OT,0.000,0.001,0.092160393327703,0.907839606672297
110,2,N,OT,0.598169642000,-0.000218280000,-0.000364913203001,-0.002765775277653,NHB,-0.002624236132633,NHB,-0.003,-0.002,0.624236132632885,0.375763867367115
111,3,C,NHB,0.241185721000,0.000492203000,0.002040763433089,0.001813606600966,NHB,0.001630742242260,NHB,0.001,0.002,0.369257757739857,0.630742242260143
112,3,C,NHB,0.241185721000,0.000487195000,0.002019999351454,0.001420499781819,NHB,0.001365298034555,NHB,0.001,0.002,0.634701965445122,0.365298034554878
113,3,C,NHB,0.241185721000,0.000400661000,0.001661213600618,0.001210720712754,NHB,0.001136280742886,NHB,0.001,0.002,0.863719257114476,0.136280742885524
114,3,C,NHB,0.617017436000,0.000808665000,0.001310603157736,0.002479188285738,NHB,0.002257104945384,NHB,0.002,0.003,0.742895054616221,0.257104945383779
115,3,C,NHB,0.617017436000,0.001216099000,0.001970931336858,0.002021426408459,NHB,0.001898337001172,NHB,0.001,0.002,0.101662998828437,0.898337001171563
116,3,C,NHB,0.617017436000,0.001061441000,0.001720277155993,0.001338561980453,NHB,0.001400868606248,NHB,0.001,0.002,0.599131393752046,0.400868606247954
117,3,C,NHB,0.517349488000,0.000982921000,0.001899916831463,0.000993832718449,NHB,0.001042549451698,NHB,0.001,0.002,0.957450548301507,0.042549451698493
118,3,C,NHB,0.517349488000,0.000848599000,0.001640281897795,0.001232901319618,NHB,0.001151776546241,NHB,0.001,0.002,0.848223453758644,0.151776546241356
119,3,C,NHB,0.517349488000,0.000873800000,0.001688993649879,0.002038420522963,NHB,0.001761702324255,NHB,0.001,0.002,0.238297675744805,0.761702324255195
120,3,C,NHB,0.517349488000,0.001065913000,0.002060334502544,0.001558791974644,NHB,0.001491366928304,NHB,0.001,0.002,0.508633071695774,0.491366928304226
121,3,C,NHB,0.517349488000,0.000873449000,0.001688315191683,0.000799127885645,NHB,0.000811227483695,NHB,0.000,0.001,0.188772516305049,0.811227483694951
122,3,C,NHB,0.517349488000,0.000830532000,0.001605359663563,0.000732179868290,NHB,0.000802153743998,NHB,0.000,0.001,0.197846256001602,0.802153743998398
123,3,C,NHB,0.517349488000,0.000610613000,0.001180271777905,0.001737358123036,NHB,0.001508695521067,NHB,0.001,0.002,0.491304478932522,0.508695521067478
124,3,C,NHB,0.517349488000,0.000767438000,0.001483403420320,0.001561772999289,NHB,0.001392264978578,NHB,0.001,0.002,0.607735021422003,0.392264978577997
125,3,C,NHB,0.517349488000,0.001255897000,0.002427560148663,0.002221587039040,NHB,0.001898292038626,NHB,0.001,0.002,0.101707961374379,0.898292038625621
126,3,C,NHB,0.517349488000,0.000851371000,0.001645639977902,0.001232519368143,NHB,0.001387089511339,NHB,0.001,0.002,0.612910488660679,0.387089511339321
127,3,C,NHB,0.517349488000,0.001173198000,0.002267708825876,0.002082198322312,NHB,0.001858240020106,NHB,0.001,0.002,0.141759979893818,0.858240020106182
128,3,C,NHB,0.517349488000,0.001048412000,0.002026506306313,0.001508390694652,NHB,0.001470776102925,NHB,0.001,0.002,0.529223897075227,0.470776102924773
129,3,C,NHB,0.517349488000,0.001105706000,0.002137251559433,0.001707080364152,NHB,0.001645007619163,NHB,0.001,0.002,0.354992380836688,0.645007619163312
130,3,C,NHB,0.517349488000,0.000814625000,0.001574612556686,0.001491041576626,NHB,0.001511139001087,NHB,0.001,0.002,0.488860998912889,0.511139001087111
131,3,C,NHB,0.626409493000,0.001446550000,0.002309272155299,0.002040843764911,NHB,0.002043476004419,NHB,0.002,0.003,0.956523995580845,0.043476004419155
132,3,C,NHB,0.626409493000,0.001503790000,0.002400650080825,0.002211210543730,NHB,0.001954833520098,NHB,0.001,0.002,0.045166479901750,0.954833520098250
133,3,C,NHB,0.626409493000,0.001217639000,0.001943838676787,0.001168487975441,NHB,0.001336789814784,NHB,0.001,0.002,0.663210185216313,0.336789814783687
134,3,C,NHB,0.626409493000,0.000986084000,0.001574184317159,0.002270646066269,NHB,0.001943461126508,NHB,0.001,0.002,0.056538873491802,0.943461126508198
135,3,C,NHB,0.626409493000,0.001178742000,0.001881743513105,0.001446112697553,NHB,0.001425425367275,NHB,0.001,0.002,0.574574632725270,0.425425367274730
136,3,C,NHB,0.626409493000,0.000177172000,0.000282837348380,0.000720616940503,NHB,0.001002034459968,NHB,0.001,0.002,0.997965540032397,0.002034459967603
137,3,C,NHB,0.626409493000,0.000048821000,0.000077937835466,0.000134171357880,NHB,0.000236642712543,NHB,0.000,0.001,0.763357287456978,0.236642712543022
