Temperature °C,NT,Stage,Phase,SAT wt%,MONO wt%,DI wt%,POLY wt%,PA wt%,NMP wt%,Trial classification
50.0,7,5,Raffinate,88.38404763,1.26942965,0.78408965,0.24869148,0.01464486,9.29909672,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,5,Extract,6.83036924,1.40913732,0.92512659,0.33294097,0.03769005,90.46473582,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,6,Raffinate,89.49114594,0.79027834,0.46719447,0.13661794,0.00483555,9.10992776,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,6,Extract,6.62750655,0.86471165,0.55203316,0.18342463,0.01257663,91.75974737,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,7,Raffinate,90.38585547,0.38110805,0.21403614,0.05795312,0.00129717,8.95975004,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,7,Extract,6.46980829,0.41219380,0.25327067,0.07800842,0.00340304,92.78331578,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,1,Raffinate,78.86111354,4.82483911,3.06955045,1.40514260,0.82045419,11.01890011,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,1,Extract,9.12984253,6.38038586,3.65840925,1.87358735,1.94571809,77.01205693,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,2,Raffinate,82.28348467,3.59689710,2.38037043,0.99984888,0.35485421,10.38454471,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,2,Extract,8.13406338,4.37823092,2.80626228,1.32610855,0.86338070,82.49195417,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,3,Raffinate,84.59654061,2.73796340,1.82319703,0.71096153,0.16892396,9.96241347,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,3,Extract,7.59149273,3.20297766,2.14593877,0.94465350,0.41953078,85.69540656,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,4,Raffinate,86.30853786,2.08797783,1.37069232,0.50094016,0.07313443,9.65871739,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,4,Extract,7.23210590,2.38219723,1.61417602,0.66753801,0.18455922,87.91942363,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,5,Raffinate,87.63374163,1.56723612,1.00011009,0.34129104,0.03012591,9.42749521,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,5,Extract,6.97144146,1.75645111,1.17901668,0.45608395,0.07698114,89.56002565,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,8,6,Raffinate,88.71341603,1.12268589,0.69293336,0.21723459,0.01187044,9.24185969,RESEARCH DIAGNOSTIC — NOT ACCEPTED
